台灣頻道,#genre#

amc 電影台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv017/index.m3u8
amc 電影台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv017/index.m3u8
Arirang TV,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv079/index.m3u8
Arirang TV,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv079/index.m3u8
BLOOMBERG TV,https://www.judy.xx.kg/judy.php?id=4gtv-live059/index.m3u8
CI 罪案偵查頻道,https://www.judy.xx.kg/judy.php?id=4gtv-live027/index.m3u8
Cinema World,https://www.judy.xx.kg/judy.php?id=4gtv-live069/index.m3u8
CLASSICA 古典樂,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv059/index.m3u8
CLASSICA 古典樂,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv059/index.m3u8
CNBC Asia 財經台,https://www.judy.xx.kg/judy.php?id=4gtv-live130/index.m3u8
DreamWorks,https://www.judy.xx.kg/judy.php?id=4gtv-live017/index.m3u8
DW德國之聲,https://www.judy.xx.kg/judy.php?id=4gtv-live071/index.m3u8
ELTA生活旅遊,https://www.judy.xx.kg/judy.php?id=4gtv-live120/index.m3u8
ELTA娛樂,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv070/index.m3u8
ELTA娛樂,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv070/index.m3u8
ELTV生活英語台,https://www.judy.xx.kg/judy.php?id=li-litv-longturn20/index.m3u8
ELTV生活英語台,https://www.judy.xx.kg/judy.php?id=litv-longturn20/index.m3u8
ELTV生活英語台,https://www.judy.xx.kg/judy.php?id=of-litv-longturn20/index.m3u8
FRANCE24 英文台,https://www.judy.xx.kg/judy.php?id=4gtv-live146/index.m3u8
FUN 4K探索娛樂,https://www.judy.xx.kg/judy.php?id=4gtv-live011/index.m3u8
GINX Esports TV,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv053/index.m3u8
GINX Esports TV,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv053/index.m3u8
Global Trekker,https://www.judy.xx.kg/judy.php?id=4gtv-live112/index.m3u8
HITS,https://www.judy.xx.kg/judy.php?id=4gtv-live620/index.m3u8
INULTRA,https://www.judy.xx.kg/judy.php?id=4gtv-live096/index.m3u8
Lifetime,https://www.judy.xx.kg/judy.php?id=4gtv-live029/index.m3u8
LiveABC 互動英語台,https://www.judy.xx.kg/judy.php?id=4gtv-live030/index.m3u8
LOVE NATURE,https://www.judy.xx.kg/judy.php?id=4gtv-live208/index.m3u8
LUXE TV,https://www.judy.xx.kg/judy.php?id=4gtv-live121/index.m3u8
MagellanTV頻道,https://www.judy.xx.kg/judy.php?id=4gtv-live123/index.m3u8
MEZZO LIVE HD,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv083/index.m3u8
MEZZO LIVE HD,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv083/index.m3u8
MOMO親子,https://www.judy.xx.kg/judy.php?id=4gtv-live107/index.m3u8
MTV Live,https://www.judy.xx.kg/judy.php?id=4gtv-live025/index.m3u8
Nick Jr.,https://www.judy.xx.kg/judy.php?id=4gtv-live032/index.m3u8
Nickelodeon,https://www.judy.xx.kg/judy.php?id=4gtv-live105/index.m3u8
Pet Club TV,https://www.judy.xx.kg/judy.php?id=4gtv-live110/index.m3u8
ROCK Action,https://www.judy.xx.kg/judy.php?id=4gtv-live138/index.m3u8
ROCK Entertainment,https://www.judy.xx.kg/judy.php?id=4gtv-live080/index.m3u8
